"SampleID","Week","SoilTemperature","SoilMoisture","SoilMoisturePercentage","pH","TC","TN","NO3","NH4","AvailableP","CNR"
"NWSwk16S002",1,20.63333333,20.34583333,12.29050279,6.34,0.89194,0.11496,6.625,2.446,15.2365,7.758698678
"NWSwk16S010",2,19.04166667,19.575,10.27027027,6.52,0.94752,0.15229,8.74,280.55,18.5375,6.221813645
"NWSwk16S018",3,11.3125,32.01666667,21.92513369,6.54,0.85336,0.10904,1.993,73.4,13.804,7.826118855
"NWSwk16S026",4,14.22916667,28.20416667,18.53932584,6.42,0.88658,0.12012,3.678,59.9,16.341,7.380785881
"NWSwk16S034",5,16.67916667,28.7125,17.51412429,6.13,0.79694,0.10508,4.4335,3.159,18.729,7.58412638
"NWSwk16S042",6,13.88333333,27.04166667,15.38461538,6.69,0.91461,0.12029,6.23,2.831,20.148,7.603375177
"NWSwk16S050",7,13.75,31.82083333,21.50537634,6.38,0.87424,0.10412,3.8425,2.724,16.823,8.396465617
"NWSwk16S058",8,9.633333333,28.94583333,19.7740113,6.16,0.96028,0.11071,6.1,2.7275,18.848,8.673832535
"NWSwk16S066",9,9.633333333,28.92083333,18.3908046,6.33,0.78827,0.10193,2.459,2.595,16.75,7.733444521
"NWSwk16S074",10,7.016666667,31.475,22.42424242,6.47,0.924,0.10901,3.15,3.927,16.2565,8.476286579
"NWSwk16S082",11,8.6625,31.125,20,6.12,0.98179,0.11154,5.54,4.6205,16.1825,8.802133764
"NWSwk16S090",12,8.766666667,29.76666667,19.45945946,6.75,0.84003,0.10805,3.904,3.7375,17.528,7.77445627
"NWSwk16S098",13,7.041666667,34.50416667,22.82608696,6.46,0.716,0.09027,3.4105,2.8495,18.604,7.931760275
"NWSwk16S106",14,6.404166667,31.49583333,21.8579235,6.55,0.7186,0.07887,4.182,2.7265,18.116,9.111195638
"NWSwk16S114",15,7.704166667,29.5,20.23809524,6.84,1.0335,0.11792,2.0985,3.123,17.279,8.764416554
"NWSwk16S122",16,8.733333333,34.925,22.6744186,7.26,0.69912,0.09138,1.7145,2.463,15.211,7.650689429
"NWSwk16S130",17,8.5875,33.3,20.27027027,6.83,0.69729,0.08946,1.6535,2.8655,17.137,7.794433266
"NWSwk16S138",18,6.829166667,34.80416667,21.08843537,7.08,0.84382,0.10401,2.8,3.316,20.966,8.112873762
"NWSwk16S146",19,5.1875,37.83333333,22.66666667,6.99,0.65917,0.07842,2.4425,3.019,22.762,8.405636317
"NWSwk16S154",20,8.020833333,36.44583333,24.5508982,6.67,0.95222,0.10805,2.6765,3.3275,23.827,8.812771865
"NWSwk16S162",21,10.70526316,34.65714286,20.49689441,6.66,0.90803,0.10705,1.8545,3.288,17.96,8.482297992
"NWSwk16S170",22,14.15454545,31.3,20.64516129,6.9,1.1733,0.13127,1.832,3.969,25.299,8.93806658
"NWSwk16S178",23,14.46666667,30.29583333,18.07228916,6.87,0.87564,0.10176,2.2155,5.49,26.833,8.60495283
"NWSwk16S186",24,13.44583333,39.4875,25.14619883,7.16,0.73649,0.08985,1.0835,6.375,27.299,8.196883695
"NWSwk16S194",25,15.67916667,34.95,12.99435028,6.63,1.0572,0.1131,1.26,3.7865,23.631,9.347480106
"NWSwk16S202",26,17.48333333,31.05,12.70718232,6.96,1.0216,0.11757,1.34,4.0095,25.122,8.689291486
"NWSwk16S210",27,16.35,25.62083333,7.344632768,6.92,0.63,0.115,0.9575,3.175,24.956,5.47826087
"NWSwk16S218",28,13.12916667,33.07083333,14.28571429,6.61,0.676,0.104,1.25,3.5265,24.485,6.5
"NWSwk16S226",29,18.1875,38.15416667,18.45238095,6.83,0.575,0.0844,1.235,3.635,20.061,6.812796209
"NWSwk16S234",30,19.925,39.675,18.56287425,6.95,0.676,0.0947,1.319,3.9395,24.137,7.138331573
"NWSwk16S242",31,19.5875,35.25833333,13.8121547,6.54,0.823,0.0903,1.283,4.6375,27.732,9.11406423
"NWSwk16S250",32,18.85833333,43.24166667,20.26143791,6.83,0.372,0.0511,1.5225,3.769,24.879,7.279843444
"NWSwk16S258",33,20.47083333,41.72083333,23.41772152,6.63,0.71549,0.06531,2.633,4.3165,21.198,10.95529015
"NWSwk16S266",34,19.75416667,44.69166667,23.63636364,6.84,1.3787,0.1239,2.448,4.6425,20.938,11.1275222
"NWSwk16S274",35,22.05652174,43.18695652,25.83333333,6.69,2.0417,0.17347,6.095,8.115,23.69,11.76975846
"NWSwk16S282",36,24.86666667,41.9,19.29824561,6.75,0.7511,0.07558,3.352,4.3095,15.459,9.937814237
"NWSwk16S290",37,22.96666667,42.58333333,18.42105263,6.36,0.77928,0.08565,2.0435,1.837,19.21,9.098423818
"NWSwk16S298",38,24.2875,48.38333333,22.83950617,6.55,0.64385,0.06477,1.0265,4.4545,16.584,9.940558901
"NWSwk16S306",39,24.858333335,40.254166665,21.51898734,6.57,0.73031,0.08312,1.203,3.004,21.099,8.786212705
"NWSwk16S314",40,24.85,38.60833333,14.88095238,6.45,0.66965,0.08577,0.9355,2.2975,17.74,7.807508453
"NWSwk16S322",41,25.27916667,33.0625,10.28571429,6.42,0.67569,0.07677,1.1235,3.115,15.325,8.801484955
"NWSwk16S330",42,26.05,27.67083333,5.263157895,7.34,0.64332,0.07559,0.9055,1.9205,19.217,8.510649557
"NWSwk16S338",43,24.89583333,25.90833333,5.031446541,7.16,0.9198,0.10741,1.3085,2.7445,20.931,8.563448468
"NWSwk16S346",44,26.55833333,31.72916667,8.988764045,6.76,1.0252,0.10203,1.354,3.016,15.824,10.04802509
"NWSwk16S354",45,25.3375,32.79583333,11.79775281,6.83,0.73169,0.08122,1.86,4.204,14.174,9.008741689
"NWSwk16S362",46,26.09333333,32.47333333,8.522727273,7.1,0.68164,0.07395,1.777,4.0155,20.273,9.217579446
"NWSwk16S370",47,26.12083333,31.19166667,4.494382022,6.8,0.99327,0.10686,1.6075,3.1715,23.585,9.295058956
"NWSwk16S378",48,26.62083333,33.74583333,8.536585366,6.9,0.80774,0.08955,3.671,2.947,19.998,9.019988833
"NWSwk16S386",49,26.77916667,25.0375,9.554140127,6.26,0.51253,0.05654,2.11,3.075,15.967,9.064909798
"NWSwk16S394",50,27.1,24.68333333,3.571428571,7,0.70017,0.08396,3.69,2.375,19.813,8.339328252
"NWSwk16S402",51,25.84583333,19.20833333,3.529411765,6.78,1.4688,0.15454,6.25,4.205,21.836,9.504335447
"NWSwk16S410",52,22.94583333,19.87916667,5.494505495,6.63,1.1627,0.1332,8.3,2.745,19.326,8.728978979
"NWSwk16S418",53,23.15833333,28.65833333,12.28070175,6.78,1.1235,0.10701,8.8,2.605,18.117,10.49901878
"NWSwk16S426",54,19.49583333,31.9875,17.04545455,6.75,0.94854,0.10589,7.9,2.135,19.792,8.957786382
"NWSwk16S434",55,20.3625,29.5375,14.72392638,6.76,1.15,0.107,8.4,3.175,20.868,10.74766355
"NWSwk16S442",56,15.84166667,29.24583333,12.04819277,6.63,0.904,0.0764,5.95,3.985,21.335,11.83246073
"NWSwk16S450",57,16.61666667,31.39166667,13.4502924,6.76,0.903,0.0676,6.8,2.855,19.452,13.35798817
"NWSwk16S458",58,14.89583333,28.96666667,14.20454545,7.03,0.741,0.0753,1.83,2.66,9.085,9.84063745
"NWSwk16S466",59,13.22916667,24.72083333,7.643312102,6.87,1.36,0.114,3.07,4.055,21.727,11.92982456
"NWSwk16S474",60,12.9,22.65833333,3.95480226,6.83,0.98576,0.10214,1.35,2.39,23.87,9.651067163
