,OTU_1,OTU_2,OTU_3,OTU_4,OTU_6,OTU_11,OTU_13,OTU_10,OTU_5,OTU_9,OTU_151,OTU_101,OTU_8,OTU_7,OTU_12,OTU_34,OTU_44,OTU_26,OTU_33,OTU_21,OTU_31,OTU_147,OTU_17,OTU_24,OTU_20,OTU_51,OTU_19,OTU_15,OTU_45,OTU_25,OTU_65,OTU_30,OTU_16,OTU_29,OTU_47,OTU_22,OTU_42,OTU_32,OTU_41,OTU_452,OTU_260,OTU_87,OTU_52,OTU_27,OTU_37,OTU_94,OTU_98,OTU_59,OTU_170,OTU_71,OTU_54,OTU_75,OTU_18,OTU_66,OTU_155,OTU_14,OTU_58,OTU_28,OTU_50,OTU_73,OTU_74,OTU_191,OTU_48,OTU_23,OTU_237,OTU_68,OTU_76,OTU_49,OTU_46,OTU_93,OTU_35,OTU_61,OTU_241,OTU_70,OTU_63,OTU_177,OTU_62,OTU_53,OTU_149,OTU_86,OTU_99,OTU_122,OTU_106,OTU_81,OTU_201,OTU_85,OTU_188,OTU_72,OTU_69,OTU_284,OTU_112,OTU_77,OTU_119,OTU_40,OTU_117,OTU_39,OTU_110,OTU_136,OTU_108,OTU_160
31,20.738955,11.54599,7.550381,1.8938775,1.5273699,1.9115342,0.80126244,0.8069765,0.9583851,0.625012,2.154489,0.868222,1.2384346,1.4994613,1.0118005,-0.08663081,1.0705911,1.5115005,0.45521712,0.5856865,1.0507241,1.4393018,0.33654776,0.2991666,0.5173852,0.44872722,0.7082575,0.8282632,0.5714314,0.9458826,0.22373775,0.66491306,0.30023795,0.8930721,0.67921865,0.43543842,-0.5853261,0.008407176,0.35856926,0.30258226,0.1224981,0.19725178,0.13886347,0.035253674,0.9181884,0.15389007,0.109116696,0.17248502,0.48236966,0.04588639,-0.14512683,0.762143,0.60345054,-0.43369353,0.3680009,0.5599904,0.11018244,0.22518915,-0.118094854,0.9160462,-0.66690505,0.4119324,-0.026414916,-0.24230601,-0.3264834,0.6562586,0.4136343,1.0256686,-0.1682342,0.7017723,-0.45679802,-0.21215022,-0.5623827,0.8424696,0.12091063,-0.014382212,0.26770714,0.48687565,-0.417396,-0.001152534,0.35906646,0.002183972,0.19095509,0.084532835,0.90889746,-0.2234465,0.8269245,0.77340615,0.32640263,0.44419342,0.44712254,-0.2436475,0.092949554,-0.18486299,0.5156598,1.1139821,-0.09287968,-0.21969089,0.42356572,-0.19969508
32,32.608803,6.5135927,6.3483896,1.5594821,1.1716166,2.1901572,0.24648824,0.85448885,0.44527543,0.4360251,0.5344327,0.7699314,1.1395565,2.2028365,1.1105014,0.8556808,0.8129851,0.63796836,0.6794569,0.33310848,0.9758254,1.0416982,0.735222,0.74160266,0.99473983,1.0137573,1.0291674,0.05061448,0.9798455,0.0072362684,0.040616278,-0.045737892,0.4595957,0.28878948,0.36674774,0.7812369,0.37660086,0.47219446,0.6343285,0.28324503,1.1506675,-0.64382374,0.61322266,0.45199022,1.3554833,0.030729022,0.52223766,0.24864133,0.9606724,0.07056737,0.47275198,1.0481255,0.53354776,0.07873549,0.3261198,1.1668746,0.13614543,0.019184032,0.90097326,0.5001902,-0.3950256,0.28163305,-0.20115386,0.3020687,0.09172167,-0.11750443,0.47842142,0.38623413,-0.07739031,0.88526994,-0.08965021,0.5275126,-0.16174498,0.14910407,0.8890049,0.3467571,0.1629777,0.56161845,0.5589626,-0.021353502,0.4665035,1.3499974,0.19972494,0.3888837,0.60843843,0.6282661,0.08233636,1.0049326,0.16186862,0.17462657,0.4612363,0.07318735,0.22745347,0.19249006,0.3939677,0.30011612,0.2949436,0.33723345,0.22816077,0.23115122
33,29.947449,7.348206,8.0526705,1.9258256,1.9553874,3.061717,1.1904258,0.9478557,0.22817808,0.8538391,0.8503218,1.2383382,1.2497939,1.5974517,0.54462063,1.0893722,0.774696,0.4430073,0.785392,0.39959776,1.0152451,0.75318915,0.8012574,0.71413857,0.6451019,0.30799806,0.7542324,0.13955367,0.91584885,-0.08044343,0.20348385,0.4721713,0.5659275,0.24027091,0.35445523,0.3229493,0.34465957,0.13469581,0.47372672,0.52505815,0.78405976,0.13795708,0.41424328,0.7065104,0.38751835,0.15931354,0.48485687,0.43264064,0.21659097,-0.0363033,0.08062906,0.6704034,0.27408433,0.36963385,0.34518173,0.59911776,0.09655218,0.16207007,0.7758508,0.46446824,0.25306213,0.21617514,-0.3805116,0.19240986,0.3746156,0.1487745,0.08558361,0.39370927,-0.23807299,0.6016066,0.29157436,0.29863468,0.2224265,0.12572911,0.497662,0.2810368,0.28457803,0.0057677105,0.33838034,0.034710135,0.28312853,0.6404227,0.38674048,0.07145389,-0.09206681,0.2642588,-0.039785743,0.6136588,0.34756956,0.40016896,0.28927904,0.24458134,0.24913684,0.16323428,-0.07030061,0.3168122,0.20338577,0.10678522,0.00064301863,0.2178382
34,25.944777,9.545051,8.184182,2.090485,1.9069228,2.531442,1.5186845,1.5344211,1.2118022,0.90638596,1.1652241,1.2375555,0.46676043,0.8842096,0.83924913,0.13300455,0.16076666,0.8031431,0.35682583,-0.005746376,0.6738988,1.1652553,0.18833295,0.2688503,0.95778775,0.5583091,1.1447748,0.36586207,0.21182287,0.28467244,0.45122224,0.04076252,0.43601325,0.06262417,-0.09465426,0.75141823,-0.07063391,0.026417427,1.0550338,0.18563926,0.6101924,0.0012688823,0.9090651,0.038552828,0.68273795,0.37589023,0.408321,0.08023116,0.83513427,0.82855624,0.32880825,0.21443334,0.11281819,0.14476174,0.7643152,0.6601064,0.12744927,0.22345176,-0.19440159,0.49633205,-0.08573864,0.117963016,0.4076278,0.4666378,0.086427316,0.023725003,0.3332936,0.88386315,0.037223272,0.46002316,0.17744434,0.122790076,0.40346316,0.30487004,0.36620516,0.4709329,0.60359716,0.31733266,0.39162076,0.23151173,0.35087523,0.18331602,0.2627536,0.103108,0.30632108,0.17741413,0.46606758,0.6000803,-0.25121292,0.37538552,0.20798758,0.6190504,0.33535942,0.7609012,-0.0057979077,0.75937736,0.33505005,-0.25567043,0.43387148,0.058588862
35,27.23708,8.955259,6.515242,1.801357,1.2121718,1.93656,0.47273558,0.92400277,1.1621358,0.80235326,1.0431451,1.3922124,1.2121195,1.4286636,0.8636744,0.6268125,0.66166925,0.39132732,0.18347442,0.90317523,0.7976087,1.1738828,0.4006233,0.59547865,0.756539,0.3799316,0.55152875,0.49514017,0.61847746,0.76910526,0.2546168,0.29655644,0.6173666,0.3150292,0.7856396,0.53755945,0.3450812,0.25996462,0.5103258,0.36611006,0.67896605,0.32831207,0.6494521,0.106589794,0.69099957,0.084309176,0.4260209,0.1727862,0.5516924,0.3865044,0.31460673,0.4895346,0.6456387,0.1419968,0.38563266,0.7482501,0.20580223,0.19223508,0.6132941,0.68860507,-0.03283256,0.39073253,0.14289208,0.51651675,-0.046788603,0.26049864,0.41991583,0.50498176,0.32408804,0.24721813,0.0043719,0.28236255,0.1557197,0.46839264,0.35744718,0.25524074,0.31129426,0.23555285,0.14565325,0.30637538,0.60885453,0.61454093,0.3769967,0.4532618,0.52166945,0.18163654,0.3236181,0.40522185,0.07013983,0.1804247,0.3341243,0.3516878,0.46199825,-0.010080062,0.53476334,0.5937581,0.22959706,0.16388075,0.6043556,0.27283007
36,27.267187,8.335643,8.544483,2.2938156,1.3853064,2.4440432,1.0966752,1.1250737,1.0124207,0.74456096,1.3014883,1.4355854,1.215941,1.4329437,0.6506502,0.74738747,1.0297605,0.57116437,0.35267735,0.9036291,0.97834426,0.9995488,0.39207673,0.7659016,0.47155404,0.00482535,0.2145835,0.6975549,0.7627948,0.69890267,0.24663386,0.24383697,0.70817786,0.53598166,0.95158297,0.42121628,0.1902169,0.14313251,0.6026318,0.4803579,0.28930655,0.47162452,0.5786772,0.3045637,0.5866083,0.24014422,0.2871142,0.49539006,0.06699019,0.28682134,0.13400999,0.77835006,0.60188186,0.1067719,0.30792487,0.5845764,0.57067126,0.14133339,0.44768214,0.535898,0.115929574,0.4213864,0.12945451,0.40481505,0.21308832,0.5030905,0.36599526,0.4256771,-0.011800196,0.48168376,0.30960223,0.23942918,0.22217235,0.42317247,0.23494592,0.26358804,0.1832916,0.11092155,0.12698936,0.31288788,0.5096989,0.1696322,0.39187062,0.34056187,0.2823568,0.27391,0.2299006,0.13276978,0.24648593,0.3320784,0.21952315,0.0025753304,0.095134676,-0.048733536,0.17975923,0.73271024,0.19279888,0.42353088,0.28280088,0.2742009
37,27.516037,8.7225065,8.397442,2.1275208,1.26826,2.1216056,0.8962049,1.0612375,1.2321348,0.81730616,0.9550719,1.1873727,1.1012244,1.578664,0.6245862,0.726582,0.9371494,0.6484486,0.37403312,0.8662203,1.0465723,0.9352412,0.32615703,0.69586325,0.73394525,0.20412496,0.51510715,0.51032007,0.6286307,0.48467422,0.13477929,-0.033347853,0.53249085,0.1613154,0.9195645,0.6863937,0.30553818,0.11609799,0.7075739,0.3098982,0.6149338,0.2925062,0.7813584,0.33925945,0.63103604,0.0916414,0.48059854,0.36934686,0.41779548,0.32921928,0.15340775,0.7482844,0.55960274,-0.043085773,0.37375244,0.8562416,0.52445483,0.3548644,0.5992986,0.57463866,-0.10288812,0.18999465,0.39749122,0.54009616,0.19957988,0.14049143,0.33373332,0.4676068,0.015565671,0.6852823,0.4020529,0.5150482,0.19334733,0.14442967,0.40114832,0.45959735,0.1144841,0.24018598,0.3172578,0.4034239,0.6070631,0.4581307,0.19952327,0.34613803,0.5221431,0.395769,0.26679942,0.20103121,0.30802932,0.39040598,0.25733668,0.13971819,0.09505722,0.04300091,0.28633046,0.6706796,0.39092648,0.47851905,0.40094534,0.34341177
38,27.190094,9.058948,8.543806,2.1635127,1.2165738,2.183579,1.1766903,1.1443163,1.2132486,0.7146429,1.0634034,1.3401852,1.1795138,1.367336,0.6115061,0.7833962,0.88764954,0.6648797,0.28008685,0.9087234,0.89940685,0.9578484,0.31792393,0.7345749,0.7071994,0.17370574,0.53275466,0.6114665,0.72229606,0.4933051,0.26049194,0.0013432428,0.52759635,0.20563059,0.84958816,0.7599863,0.22244914,0.26004508,0.6533439,0.36293367,0.54575956,0.31317487,0.6220438,0.22092526,0.59498274,0.1846907,0.387264,0.3103931,0.50583816,0.3413662,0.25228247,0.6049356,0.5549385,-0.017154302,0.4002022,0.64993846,0.43905133,0.31752846,0.5417776,0.5453989,-0.11514285,0.26376146,0.27751064,0.52824503,0.13985087,0.30048865,0.427845,0.49753478,0.11677431,0.5195451,0.20671141,0.4232296,0.23741171,0.30149102,0.40074518,0.5096532,0.060763504,0.2527951,0.16834986,0.3455698,0.51367116,0.38092503,0.11565226,0.3325982,0.5783322,0.27600706,0.28731775,0.17112124,0.2945622,0.31545034,0.3285346,0.17011555,0.14051372,0.003504876,0.2999036,0.60477006,0.40172806,0.38408196,0.4553929,0.33910117
39,28.057722,8.4710245,8.579941,2.218462,1.2707231,2.276133,1.1448858,1.1861391,1.1825472,0.758032,0.9725251,1.3843235,1.0915444,1.3601909,0.6644373,0.7980588,0.9426629,0.58554167,0.32473665,0.9051804,0.94120234,1.0097803,0.31045222,0.6965245,0.6926794,0.19241694,0.51983607,0.58847195,0.67318666,0.50270903,0.2760757,0.014665842,0.5888156,0.25175217,0.8343018,0.6901192,0.3056569,0.21210536,0.6859013,0.36406848,0.5426586,0.34519652,0.74805385,0.31219295,0.63269883,0.21845314,0.42422736,0.35124257,0.45610955,0.3858338,0.21586075,0.62441415,0.5206575,0.045150112,0.3920597,0.76658434,0.4931298,0.29949293,0.55411994,0.56565285,-0.048136234,0.23170424,0.26670745,0.56652427,0.15921932,0.25041157,0.41220725,0.45189804,0.07193596,0.5494031,0.31031176,0.42140916,0.29399523,0.28141114,0.40188614,0.4711594,0.15835203,0.25579557,0.2945747,0.30315575,0.5111203,0.38685325,0.19962457,0.3382191,0.4954709,0.36941886,0.2695919,0.21114893,0.23685323,0.306525,0.26014313,0.20811743,0.16163826,0.08522084,0.27144226,0.6171327,0.3675653,0.37131,0.41504514,0.3430888
40,27.702667,8.629616,8.650965,2.15858,1.1975844,2.1863341,1.1649365,1.1040039,1.1515496,0.69631284,0.9727554,1.3770101,1.1394409,1.4043609,0.6699285,0.8527443,0.99185735,0.59746164,0.32613963,0.9956443,0.9135525,0.94845,0.32444295,0.7631295,0.73067975,0.16163294,0.5627088,0.6458081,0.7461708,0.48908094,0.24386084,-0.022825576,0.6283891,0.20663987,0.91664416,0.7539299,0.32198453,0.23619848,0.6023238,0.3616418,0.623168,0.303131,0.73888904,0.27692115,0.69688016,0.14819838,0.38323,0.3286136,0.50862014,0.35608584,0.2526822,0.6610086,0.5720538,0.036348153,0.3715276,0.813557,0.47418147,0.32066166,0.5751099,0.58398515,-0.11543132,0.22715594,0.19362691,0.5777858,0.17774361,0.24105467,0.40780428,0.4343269,0.071679786,0.5727394,0.25826833,0.45261395,0.31391305,0.25802854,0.4157227,0.5259492,0.104591906,0.31142616,0.25290686,0.3117109,0.5417331,0.49550512,0.08422609,0.3608945,0.59235495,0.35108012,0.22531757,0.2918881,0.31471568,0.34998667,0.31202105,0.16609308,0.19840449,0.057581533,0.28047094,0.6153353,0.41500798,0.4013987,0.49184975,0.33563465
