,99fee0a19b008f861969600865c985de,c834e02be94ea60ec2900976677cc474,dfcfd742612d616e7c1097c359c7e63b,123e950130b49f3692b2898d9a43ef9c,091126efa2a5f6896c1a128c49160228
12,269.1796,695.0325,992.911,878.4036,676.5245
13,299.76013,647.3605,826.153,869.3048,602.50226
14,367.94763,606.941,784.77625,844.97876,571.0781
15,360.2546,608.10004,743.9903,806.0754,522.7185
16,331.11145,540.4588,720.27814,811.8317,487.77795
17,299.7826,487.47192,693.39856,811.94025,454.767
18,270.01083,454.48337,660.0136,796.1641,434.73428
19,236.73514,421.18826,628.20667,777.01013,414.88416
20,211.81287,388.23022,602.85345,757.777,396.72137
21,195.39734,367.2563,578.7679,732.38983,380.53296
22,182.90279,349.39844,553.7309,702.16943,365.37186
23,172.56743,331.79214,529.5318,671.53906,350.0532
24,164.3262,316.95044,506.33972,641.41113,335.07407
25,157.35262,303.6813,483.79803,611.9514,320.61914
26,150.74695,290.4325,462.06082,583.7776,306.503
27,144.39258,277.741,441.415,557.208,292.90967
28,138.32257,265.76135,421.70212,532.0032,279.9036
29,132.39647,254.09502,402.85583,508.07468,267.42575
30,126.62179,242.8314,384.8956,485.37006,255.49606
31,121.06185,232.11182,367.7912,463.78174,244.13144
32,115.70962,221.83556,351.46613,443.20718,233.28946
33,110.56403,211.9793,335.88834,423.59146,222.94159
34,105.64687,202.58699,321.02844,404.8749,213.07445
35,100.954475,193.6285,306.84387,387.00278,203.6614
36,96.473274,185.06784,293.30197,369.93765,194.67613
37,92.19844,176.90115,280.37662,353.64484,186.10075
38,88.12219,169.11229,268.03824,338.08807,177.91629
39,84.232574,161.6761,256.25922,323.23526,170.10316
40,80.520615,154.57805,245.0153,309.05643,162.64484
41,76.978615,147.80464,234.28241,295.52124,155.52551
42,73.597946,141.33887,224.03683,282.60068,148.72946
43,70.370834,135.16635,214.25684,270.26746,142.24203
44,67.29043,129.27472,204.9213,258.49478,136.04935
