Dataset,MSE,MAE,RMSE,Model
0,15202514.0,620.1781616210938,3899.0400390625,Dummy
0,5.248978595773224e-06,0.0004187196318525821,0.002291064942255616,LinearRegression
0,10832.2197265625,16.60413360595703,104.07794952392578,Ridge
0,6.778625275056937e-10,4.904619870280029e-06,2.603579319908832e-05,PLS
0,1.5370898836408742e-05,0.000728813698515296,0.003920573741197586,PCR
0,966731.8617813032,166.0055430735719,983.2252345120639,RandomForest
0,90806.7578125,110.19230651855469,301.3415832519531,MLP
0,8473430.0,431.6276550292969,2910.915771484375,DNN
0,53847.53125,166.8148651123047,232.0507049560547,RNN
0,102382.8046875,243.8229522705078,319.97314453125,LSTM
